t,bgx,bgy,bgz
78.85000000000001,1.847940320138335e-05,-2.6537784651668957e-05,4.4011263319885444e-05
78.86,1.7864302264264457e-05,-1.6145658460469003e-05,4.242522883094752e-05
78.87,1.637888851399104e-05,-2.2427336240832703e-05,5.396139958848187e-05
78.88,1.1406135718994781e-05,-1.512041265950356e-05,5.7995234498235963e-05
78.89,8.212739510148249e-06,-1.0481573592657048e-05,5.8070191694512604e-05
78.9,1.3343740728385005e-05,-1.1553696806519099e-05,6.47008319220728e-05
78.91,1.276070662837929e-05,-1.0433742046163334e-05,6.342268946847169e-05
78.92,1.4366696652960264e-05,-1.369154760481356e-05,6.608621831309192e-05
78.93,1.6836812425418023e-05,-1.3432397678452854e-05,6.611065578354147e-05
78.94,1.7106121223280995e-05,-1.230071239741715e-05,6.526078719282808e-05
78.95,1.518836478272108e-05,-1.0739016569161169e-05,6.441622514198355e-05
78.96000000000001,1.590504314820083e-05,-1.5306146220022956e-05,7.013308755774372e-05
78.97,1.5306016395265596e-05,-1.3725684603058964e-05,6.313902876735862e-05
78.98,1.777026709903318e-05,-1.4777551738976917e-05,5.924817771565202e-05
78.99,1.9782054398894438e-05,-2.1504848651311642e-05,5.625577443129997e-05
79.0,1.828466629367695e-05,-2.294521978685988e-05,6.114943684621053e-05
79.01,2.073031844631082e-05,-2.0442906675857865e-05,6.819792714793237e-05
79.02,1.9227009424578926e-05,-1.9704524840763504e-05,5.334857013632208e-05
79.03,1.8170163731679274e-05,-2.377859753848286e-05,4.558515961566989e-05
79.04,2.1053607570341724e-05,-1.777446695669695e-05,4.573760474109178e-05
79.05,1.779997299691464e-05,-1.574151652273104e-05,4.982278864256991e-05
79.06,2.7678956087162113e-05,-1.546956668599391e-05,5.1260004421964274e-05
79.07000000000001,2.8317643782711223e-05,-2.044423573978084e-05,4.875455565670527e-05
79.08,2.8952343542057933e-05,-2.6699073403965018e-05,5.1509671645178755e-05
79.09,2.6086466366744157e-05,-3.335193289067406e-05,4.8128510494678286e-05
79.10000000000001,2.454971380704191e-05,-3.6029561596517374e-05,4.739092158101829e-05
79.11,2.2148403183959616e-05,-3.825339457615493e-05,4.3598400976579283e-05
79.12,1.845085602038014e-05,-3.915211183421352e-05,4.507448154244745e-05
79.13,2.8762851764734435e-05,-4.441598491728346e-05,5.003795942900685e-05
79.14,3.1580155353033354e-05,-4.2216686086906834e-05,5.103675495467138e-05
